Date,^GSPC,^DJI,^IXIC
2013-01-02,1462.4200439453125,13412.5498046875,3112.260009765625
2013-01-03,1459.3699951171875,13391.3603515625,3100.570068359375
2013-01-04,1466.469970703125,13435.2099609375,3101.659912109375
2013-01-07,1461.8900146484375,13384.2900390625,3098.81005859375
2013-01-08,1457.1500244140625,13328.849609375,3091.81005859375
2013-01-09,1461.02001953125,13390.509765625,3105.81005859375
2013-01-10,1472.1199951171875,13471.2197265625,3121.760009765625
2013-01-11,1472.050048828125,13488.4296875,3125.6298828125
2013-01-14,1470.6800537109375,13507.3203125,3117.5
2013-01-15,1472.3399658203125,13534.8896484375,3110.780029296875
2013-01-16,1472.6300048828125,13511.23046875,3117.5400390625
2013-01-17,1480.93994140625,13596.01953125,3136.0
2013-01-18,1485.97998046875,13649.7001953125,3134.7099609375
2013-01-22,1492.56005859375,13712.2099609375,3143.179931640625
2013-01-23,1494.81005859375,13779.330078125,3153.669921875
2013-01-24,1494.8199462890625,13825.330078125,3130.3798828125
2013-01-25,1502.9599609375,13895.98046875,3149.7099609375
2013-01-28,1500.1800537109375,13881.9296875,3154.300048828125
2013-01-29,1507.8399658203125,13954.419921875,3153.659912109375
2013-01-30,1501.9599609375,13910.419921875,3142.31005859375
2013-01-31,1498.1099853515625,13860.580078125,3142.1298828125
2013-02-01,1513.1700439453125,14009.7900390625,3179.10009765625
2013-02-04,1495.7099609375,13880.080078125,3131.169921875
2013-02-05,1511.2900390625,13979.2998046875,3171.580078125
2013-02-06,1512.1199951171875,13986.51953125,3168.47998046875
2013-02-07,1509.3900146484375,13944.0498046875,3165.1298828125
2013-02-08,1517.9300537109375,13992.9697265625,3193.8701171875
2013-02-11,1517.010009765625,13971.240234375,3192.0
2013-02-12,1519.4300537109375,14018.7001953125,3186.489990234375
2013-02-13,1520.3299560546875,13982.91015625,3196.8798828125
2013-02-14,1521.3800048828125,13973.3896484375,3198.659912109375
2013-02-15,1519.7900390625,13981.759765625,3192.030029296875
2013-02-19,1530.93994140625,14035.669921875,3213.590087890625
2013-02-20,1511.949951171875,13927.5400390625,3164.409912109375
2013-02-21,1502.4200439453125,13880.6201171875,3131.489990234375
2013-02-22,1515.5999755859375,14000.5703125,3161.820068359375
2013-02-25,1487.8499755859375,13784.169921875,3116.25
2013-02-26,1496.93994140625,13900.1298828125,3129.64990234375
2013-02-27,1515.989990234375,14075.3701171875,3162.260009765625
2013-02-28,1514.6800537109375,14054.490234375,3160.18994140625
2013-03-01,1518.199951171875,14089.66015625,3169.739990234375
2013-03-04,1525.199951171875,14127.8203125,3182.030029296875
2013-03-05,1539.7900390625,14253.76953125,3224.1298828125
2013-03-06,1541.4599609375,14296.240234375,3222.3701171875
2013-03-07,1544.260009765625,14329.490234375,3232.090087890625
2013-03-08,1551.1800537109375,14397.0703125,3244.3701171875
2013-03-11,1556.219970703125,14447.2900390625,3252.8701171875
2013-03-12,1552.47998046875,14450.0595703125,3242.320068359375
2013-03-13,1554.52001953125,14455.2802734375,3245.1201171875
2013-03-14,1563.22998046875,14539.1396484375,3258.929931640625
2013-03-15,1560.699951171875,14514.1103515625,3249.070068359375
2013-03-18,1552.0999755859375,14452.0595703125,3237.590087890625
2013-03-19,1548.3399658203125,14455.8203125,3229.10009765625
2013-03-20,1558.7099609375,14511.73046875,3254.18994140625
2013-03-21,1545.800048828125,14421.490234375,3222.60009765625
2013-03-22,1556.8900146484375,14512.0302734375,3245.0
2013-03-25,1551.68994140625,14447.75,3235.300048828125
2013-03-26,1563.77001953125,14559.650390625,3252.47998046875
2013-03-27,1562.8499755859375,14526.16015625,3256.52001953125
2013-03-28,1569.18994140625,14578.5400390625,3267.52001953125
2013-04-01,1562.1700439453125,14572.849609375,3239.169921875
2013-04-02,1570.25,14662.009765625,3254.860107421875
2013-04-03,1553.68994140625,14550.349609375,3218.60009765625
2013-04-04,1559.97998046875,14606.1103515625,3224.97998046875
2013-04-05,1553.280029296875,14565.25,3203.860107421875
2013-04-08,1563.0699462890625,14613.48046875,3222.25
2013-04-09,1568.6099853515625,14673.4599609375,3237.860107421875
2013-04-10,1587.72998046875,14802.240234375,3297.25
2013-04-11,1593.3699951171875,14865.1396484375,3300.159912109375
2013-04-12,1588.8499755859375,14865.0595703125,3294.949951171875
2013-04-15,1552.3599853515625,14599.2001953125,3216.489990234375
2013-04-16,1574.5699462890625,14756.7802734375,3264.6298828125
2013-04-17,1552.010009765625,14618.58984375,3204.669921875
2013-04-18,1541.6099853515625,14537.1396484375,3166.360107421875
2013-04-19,1555.25,14547.509765625,3206.06005859375
2013-04-22,1562.5,14567.169921875,3233.550048828125
2013-04-23,1578.780029296875,14719.4599609375,3269.330078125
2013-04-24,1578.7900390625,14676.2998046875,3269.64990234375
2013-04-25,1585.1600341796875,14700.7998046875,3289.989990234375
2013-04-26,1582.239990234375,14712.5498046875,3279.260009765625
2013-04-29,1593.6099853515625,14818.75,3307.02001953125
2013-04-30,1597.5699462890625,14839.7998046875,3328.7900390625
2013-05-01,1582.699951171875,14700.9501953125,3299.1298828125
2013-05-02,1597.5899658203125,14831.580078125,3340.6201171875
2013-05-03,1614.4200439453125,14973.9599609375,3378.6298828125
2013-05-06,1617.5,14968.8896484375,3392.969970703125
2013-05-07,1625.9599609375,15056.2001953125,3396.6298828125
2013-05-08,1632.68994140625,15105.1201171875,3413.27001953125
2013-05-09,1626.6700439453125,15082.6201171875,3409.169921875
2013-05-10,1633.699951171875,15118.490234375,3436.580078125
2013-05-13,1633.77001953125,15091.6796875,3438.7900390625
2013-05-14,1650.3399658203125,15215.25,3462.610107421875
2013-05-15,1658.780029296875,15275.6904296875,3471.6201171875
2013-05-16,1650.469970703125,15233.2197265625,3465.239990234375
2013-05-17,1667.469970703125,15354.400390625,3498.969970703125
2013-05-20,1666.2900390625,15335.2802734375,3496.429931640625
2013-05-21,1669.1600341796875,15387.580078125,3502.1201171875
2013-05-22,1655.3499755859375,15307.169921875,3463.300048828125
2013-05-23,1650.510009765625,15294.5,3459.419921875
2013-05-24,1649.5999755859375,15303.099609375,3459.139892578125
2013-05-28,1660.06005859375,15409.3896484375,3488.889892578125
2013-05-29,1648.3599853515625,15302.7998046875,3467.52001953125
2013-05-30,1654.4100341796875,15324.5302734375,3491.300048828125
2013-05-31,1630.739990234375,15115.5703125,3455.909912109375
2013-06-03,1640.4200439453125,15254.0302734375,3465.3701171875
2013-06-04,1631.3800048828125,15177.5400390625,3445.260009765625
2013-06-05,1608.9000244140625,14960.58984375,3401.47998046875
2013-06-06,1622.56005859375,15040.6201171875,3424.050048828125
2013-06-07,1643.3800048828125,15248.1201171875,3469.219970703125
2013-06-10,1642.81005859375,15238.58984375,3473.77001953125
