Date,^GSPC,^DJI,^IXIC
1993-01-04,435.3800048828125,3309.199951171875,671.7999877929688
1993-01-05,434.3399963378906,3307.89990234375,674.3400268554688
1993-01-06,434.5199890136719,3305.199951171875,681.8499755859375
1993-01-07,430.7300109863281,3269.0,678.2100219726562
1993-01-08,429.04998779296875,3251.699951171875,677.2100219726562
1993-01-11,430.95001220703125,3262.75,682.4000244140625
1993-01-12,431.0400085449219,3264.60009765625,679.4500122070312
1993-01-13,433.0299987792969,3263.60009765625,686.780029296875
1993-01-14,435.94000244140625,3267.89990234375,695.7000122070312
1993-01-15,437.1499938964844,3271.10009765625,697.1500244140625
1993-01-18,436.8399963378906,3274.89990234375,698.1300048828125
1993-01-19,435.1300048828125,3256.0,696.8099975585938
1993-01-20,433.3699951171875,3242.0,697.4400024414062
1993-01-21,435.489990234375,3253.0,700.77001953125
1993-01-22,436.1099853515625,3256.800048828125,701.6300048828125
1993-01-25,440.010009765625,3292.199951171875,706.9500122070312
1993-01-26,439.95001220703125,3299.0,707.1599731445312
1993-01-27,438.1099853515625,3291.39990234375,697.9000244140625
1993-01-28,438.6600036621094,3306.300048828125,694.6699829101562
1993-01-29,438.7799987792969,3310.0,696.3400268554688
1993-02-01,442.5199890136719,3332.199951171875,701.77001953125
1993-02-02,442.54998779296875,3328.699951171875,705.1199951171875
1993-02-03,447.20001220703125,3373.800048828125,708.6699829101562
1993-02-04,449.55999755859375,3416.699951171875,708.8499755859375
1993-02-05,448.92999267578125,3442.10009765625,700.97998046875
1993-02-08,447.8500061035156,3437.5,698.4400024414062
1993-02-09,445.3299865722656,3414.60009765625,692.2100219726562
1993-02-10,446.2300109863281,3412.39990234375,695.02001953125
1993-02-11,447.6600036621094,3422.699951171875,695.8800048828125
1993-02-12,444.5799865722656,3392.429931640625,690.5399780273438
1993-02-16,433.9100036621094,3309.5,665.3900146484375
1993-02-17,433.29998779296875,3312.199951171875,659.4299926757812
1993-02-18,431.8999938964844,3302.199951171875,662.4500122070312
1993-02-19,434.2200012207031,3322.179931640625,663.6099853515625
1993-02-22,435.239990234375,3342.989990234375,652.4199829101562
1993-02-23,434.79998779296875,3323.27001953125,651.4000244140625
1993-02-24,440.8699951171875,3356.5,662.4600219726562
1993-02-25,442.3399963378906,3365.139892578125,667.0700073242188
1993-02-26,443.3800048828125,3370.81005859375,670.77001953125
1993-03-01,442.010009765625,3355.409912109375,669.510009765625
1993-03-02,447.8999938964844,3400.530029296875,677.719970703125
1993-03-03,449.260009765625,3404.0400390625,683.9199829101562
1993-03-04,447.3399963378906,3398.909912109375,680.72998046875
1993-03-05,446.1099853515625,3404.580078125,681.3699951171875
1993-03-08,454.7099914550781,3469.419921875,687.22998046875
1993-03-09,454.3999938964844,3472.1201171875,688.9600219726562
1993-03-10,456.3299865722656,3478.340087890625,692.8699951171875
1993-03-11,453.7200012207031,3457.0,694.280029296875
1993-03-12,449.8299865722656,3427.820068359375,692.780029296875
1993-03-15,451.42999267578125,3442.409912109375,695.2100219726562
1993-03-16,451.3699951171875,3442.949951171875,695.469970703125
1993-03-17,448.30999755859375,3426.739990234375,687.4000244140625
1993-03-18,451.8900146484375,3465.639892578125,687.4099731445312
1993-03-19,450.17999267578125,3471.580078125,682.719970703125
1993-03-22,448.8800048828125,3463.47998046875,676.6199951171875
1993-03-23,448.760009765625,3461.860107421875,675.0399780273438
1993-03-24,448.07000732421875,3445.3798828125,674.3599853515625
1993-03-25,450.8800048828125,3461.320068359375,681.010009765625
1993-03-26,447.7799987792969,3439.97998046875,681.5399780273438
1993-03-29,450.7699890136719,3455.10009765625,680.760009765625
1993-03-30,451.9700012207031,3457.27001953125,686.25
1993-03-31,451.6700134277344,3435.110107421875,690.1300048828125
1993-04-01,450.29998779296875,3439.43994140625,686.6400146484375
1993-04-02,441.3900146484375,3370.81005859375,669.8499755859375
1993-04-05,442.2900085449219,3379.18994140625,670.7100219726562
1993-04-06,441.1600036621094,3377.570068359375,664.1400146484375
1993-04-07,442.7300109863281,3397.02001953125,668.8800048828125
1993-04-08,441.8399963378906,3396.47998046875,666.3300170898438
1993-04-12,448.3699951171875,3428.090087890625,673.1199951171875
1993-04-13,449.2200012207031,3444.030029296875,673.8300170898438
1993-04-14,448.6600036621094,3455.639892578125,673.9400024414062
1993-04-15,448.3999938964844,3455.919921875,670.3200073242188
1993-04-16,448.94000244140625,3478.610107421875,666.780029296875
1993-04-19,447.4599914550781,3466.989990234375,663.030029296875
1993-04-20,445.1000061035156,3443.489990234375,661.969970703125
1993-04-21,443.6300048828125,3439.43994140625,664.0399780273438
1993-04-22,439.4599914550781,3429.169921875,663.510009765625
1993-04-23,437.0299987792969,3413.77001953125,658.4099731445312
1993-04-26,433.5400085449219,3398.3701171875,645.8699951171875
1993-04-27,438.010009765625,3415.929931640625,652.52001953125
1993-04-28,438.0199890136719,3413.5,658.1599731445312
1993-04-29,438.8900146484375,3425.1201171875,658.4500122070312
1993-04-30,440.19000244140625,3427.550048828125,661.4199829101562
1993-05-03,442.4599914550781,3446.4599609375,666.7100219726562
1993-05-04,444.04998779296875,3446.18994140625,678.1599731445312
1993-05-05,444.5199890136719,3449.10009765625,683.260009765625
1993-05-06,443.260009765625,3441.89990234375,680.0399780273438
1993-05-07,442.30999755859375,3437.18994140625,681.4400024414062
1993-05-10,442.79998779296875,3443.280029296875,682.8200073242188
1993-05-11,444.3599853515625,3468.75,683.0599975585938
1993-05-12,444.79998779296875,3482.31005859375,681.6900024414062
1993-05-13,439.2300109863281,3447.989990234375,675.6400146484375
